"SP","NO","ID","2013/10/15","2013/11/15","2013/12/15","2014/01/15","2014/02/15","2014/03/15","2014/04/15","2014/05/15","2014/06/15","2014/07/15","2014/08/15","2014/09/15","2014/10/15","2014/11/15","2014/12/15","2015/01/15","2015/02/15","2015/03/15","2015/04/15","2015/05/15","2015/06/15","2015/07/15","2015/08/15","2015/09/15","2015/10/15","2015/11/15","2015/12/15","2016/01/15","2016/02/15","2016/03/15","2016/04/15","2016/05/15","2016/06/15","2016/07/15","2016/08/15","2016/09/15","2016/10/15","2016/11/15","2016/12/15","2017/01/15","2017/02/15","2017/03/15","2017/04/15","2017/05/15","2017/06/15","2017/07/15","2017/08/15","2017/09/15","2017/10/15","2017/11/15","2017/12/15"
"AC","1","AC-1","50","100","100","0","0","0","0","0","0","0","0","0","10","80","100","0","0","0","0","0","0","0","0","5","100","80","100","0","0","0","0","0","0","0","0","0","0","20","60","5","0","0","0","0","0","0","0","0","0","0",""
"AC","3","AC-3","0","100","20","30","0","0","0","0","0","0","0","0","0","10","60","20","0","0","0","0","0","0","0","0","5","30","40","0","0","0","0","0","0","0","0","0","0","20","60","0","0","0","0","0","0","0","0","0","5","30","50"
"AC","4","AC-4","0","100","20","10","0","0","0","0","0","0","0","0","20","20","80","60","0","0","0","0","0","0","0","0","10","20","100","0","0","0","0","0","0","0","0","0","10","10","60","5","0","0","0","0","0","0","0","0","20","30","75"
"AC","5","AC-5","0","100","0","10","0","0","0","0","0","0","0","0","10","10","60","60","0","0","0","0","0","0","0","0","10","20","80","0","0","0","0","0","0","0","0","0","0","20","30","0","0","0","0","0","0","0","0","0","5","10","50"
"AC","7","AC-7","10","0","40","10","0","0","0","0","0","0","0","0","10","5","30","0","0","0","0","0","0","0","0","0","0","20","30","0","0","0","0","0","0","0","0","0","10","30","30","0","0","0","0","0","0","0","0","0","10","10","25"
"AC","8","AC-8","0","0","40","0","0","0","0","0","0","0","0","0","6.6666666666667","13.333333333333","13.333333333333","40","0","0","0","0","0","0","0","0","6.6666666666667","13.333333333333","40","0","0","0","0","0","0","0","0","0","0","6.6666666666667","40","0","0","0","0","0","0","0","0","0","0","0","26.666666666667"
"AC","9","AC-9","0","80","40","0","0","0","0","0","0","0","0","0","20","0","80","30","0","0","0","0","0","0","0","0","0","20","60","0","0","0","0","0","0","0","0","0","10","20","20","5","0","0","0","0","0","0","0","0","5","5","20"
"AC","10","AC-10","0","100","30","0","0","0","0","0","0","0","0","0","10","20","70","40","0","0","0","0","0","0","0","0","5","15","60","0","0","0","0","0","0","0","0","0","5","0","30","0","0","0","0","0","0","0","0","0","10","5","30"
"AC","11","AC-11","0","87.5","0","12.5","0","0","0","0","0","0","0","0","12.5","12.5","50","25","0","0","0","0","0","0","0","0","12.5","25","100","0","0","0","0","0","0","0","0","0","6.25","37.5","75","12.5","0","0","0","0","0","0","0","0","6.25","25","37.5"
"AC","12","AC-12","0","30","30","10","0","0","0","0","0","0","0","0","0","20","60","30","0","0","0","0","0","0","0","0","5","20","100","0","0","0","0","0","0","0","0","0","0","10","20","0","0","0","0","0","0","0","0","0","10","5","75"
"AC","13","AC-13","0","40","0","0","0","0","0","0","0","0","0","0","0","26.666666666667","13.333333333333","40","0","0","0","0","0","0","0","0","0","0","53.333333333333","0","0","0","0","0","0","0","0","0","0","6.6666666666667","13.333333333333","0","0","0","0","0","0","0","0","0","0","13.333333333333","13.333333333333"
"AC","14","AC-14","0","10","0","0","0","0","0","0","0","0","0","0","0","40","60","10","0","0","0","0","0","0","0","0","10","5","40","0","0","0","0","0","0","0","0","0","5","30","60","0","0","0","0","0","0","0","0","0","0","0","50"
"AC","15","AC-15","0","0","100","0","0","0","0","0","0","0","0","0","0","80","50","5","0","0","0","0","0","0","0","0","10","20","80","0","0","0","0","0","0","0","0","0","10","30","100","10","0","0","0","0","0","0","0","0","0","0","75"
"AC","17","AC-17","","80","40","40","0","0","0","0","0","0","0","0","0","80","0","20","0","0","0","0","0","0","0","0","0","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"AC","18","AC-18","","100","50","0","0","0","0","0","0","0","0","0","80","100","100","20","0","0","0","0","0","0","0","0","100","30","100","5","0","0","0","0","0","0","0","0","0","80","100","5","0","0","0","0","0","0","0","0","0","40","100"
"AC","20","AC-20","","100","50","50","0","0","0","0","0","0","0","0","80","80","60","20","0","0","0","0","0","0","0","0","20","80","80","10","0","0","0","0","0","0","0","0","0","20","30","5","0","0","0","0","0","0","0","0","0","70","100"
"AC","21","AC-21","","60","35","10","0","0","0","0","0","0","0","0","20","100","20","20","0","0","0","0","0","0","0","0","30","40","80","5","0","0","0","0","0","0","0","0","0","10","40","5","0","0","0","0","0","0","0","0","0","30","100"
"AC","22","AC-22","","100","60","60","0","0","0","0","0","0","0","0","60","100","60","60","0","0","0","0","0","0","0","0","30","100","100","0","0","0","0","0","0","0","0","0","0","60","90","10","0","0","0","0","0","0","0","0","5","50","50"
"AC","23","AC-23","","100","20","20","0","0","0","0","0","0","0","0","60","40","60","20","0","0","0","0","0","0","0","0","80","50","60","0","0","0","0","0","0","0","0","0","5","40","30","10","0","0","0","0","0","0","0","0","30","60","100"
"AC","24","AC-24","","70","35","0","0","0","0","0","0","0","0","0","20","80","40","60","0","0","0","0","0","0","0","0","80","20","30","60","0","0","0","0","0","0","0","0","0","30","30","20","0","0","0","0","0","0","0","0","0","30","100"
"AC","25","AC-25","","100","60","60","0","0","0","0","0","0","0","0","20","60","100","10","0","0","0","0","0","0","0","0","100","100","100","70","0","0","0","0","0","0","0","0","0","100","100","5","0","0","0","0","0","0","0","0","0","60","100"
"AC","26","AC-26","","50","20","20","0","0","0","0","0","0","0","0","60","80","80","30","0","0","0","0","0","0","0","0","20","100","80","5","0","0","0","0","0","0","0","0","0","20","80","5","0","0","0","0","0","0","0","0","0","20","100"
"AC","27","AC-27","","100","10","10","0","0","0","0","0","0","0","0","10","100","100","50","0","0","0","0","0","0","0","0","60","100","100","0","0","0","0","0","0","0","0","0","0","80","80","5","0","0","0","0","0","0","0","0","0","30","0"
"AC","28","AC-28","","","","100","0","0","0","0","0","0","0","0","0","30","100","0","0","0","0","0","0","0","0","0","100","100","100","5","0","0","0","0","0","0","0","0","10","80","100","5","0","0","0","0","0","0","0","0","0","20","30"
"AC","29","AC-29","","","","40","5","0","0","0","0","0","0","0","0","20","100","20","0","0","0","0","0","0","0","0","0","50","100","5","0","0","0","0","0","0","0","0","0","10","100","10","0","0","0","0","0","0","0","0","0","50","50"
"AC","30","AC-30","","","","20","0","0","0","0","0","0","0","0","0","40","100","10","0","0","0","0","0","0","0","0","100","100","80","0","0","0","0","0","0","0","0","0","5","60","80","5","0","0","0","0","0","0","0","0","0","60","30"
"AC","32","AC-32","","","","20","0","0","0","0","0","0","0","0","0","30","80","5","0","0","0","0","0","0","0","0","100","60","100","0","0","0","0","0","0","0","0","0","5","10","40","10","0","0","0","0","0","0","0","0","0","0","10"
